;Total - Nº;Total - %;Mujeres - Nº;Mujeres - %;Hombres - Nº;Hombres - %;Personal de investigación  (I-PI)
Personal de investigación  (I-PI);Nº;%;Nº;%;Nº;%
COLABORADOR/A JUNIOR;35;7.6;18;8.6;17;6.8
COLABORADOR/A SENIOR;55;12;22;10.5;33;13.3
INVESTIGADOR/A COLABORADOR/A;29;6.3;14;6.7;15;6
INVESTIGADOR/A DISTINGUIDO/A;19;4.1;4;1.9;15;6
INVESTIGADOR/A DOCTOR/A;24;5.2;11;5.3;13;5.2
INVESTIGADOR/A EN FORMACION;32;7;13;6.2;19;7.6
INVESTIGADOR/A JUNIOR;30;6.6;17;8.1;13;5.2
INVESTIGADOR/A PREDOCTORAL;226;49.3;108;51.7;118;47.4
INVESTIGADOR/A SENIOR;1;0.2;0;0;1;0.4
PROFESOR/A DISTINGUIDO/A;7;1.5;2;1;5;2
